id,business_type,category_name,google_category_id,product_name,price_cents,brand,description,sku_pattern,generation_source,usage_count,quality_score,created_at,last_used_at,image_url,thumbnail_url,image_width,image_height,image_bytes,enhanced_description,features,specifications,has_image,image_quality
sid-vaqpj67e,grocery,Snacks,tid-c2r2kf8v_snacks,Cheesy Blast Corn Chips - Family Size 10oz,349,Tastitos,"A crunchy, cheesy snack perfect for any occasion.",TCB-349-10Z,ai,1,0,2025-12-22 21:19:44.005,,,,,,,"Dive into the bold and savory flavor of Tastitos Cheesy Blast Corn Chips, the perfect snack for any party, movie night, or when you're simply craving something deliciously crunchy. Our Family Size 10oz bag ensures there's plenty to share, making it a must-have for your pantry. Made with real cheese and a perfect blend of spices, each chip offers a satisfying crunch and a burst of cheesy flavor that's loved by everyone. Ideal for dipping or enjoying straight out of the bag, Tastitos Cheesy Blast Corn Chips are your go-to snack for any moment.","[""Made with real cheese for a rich, savory taste"", ""Perfectly crunchy texture in every bite"", ""Family Size 10oz bag is perfect for sharing"", ""No artificial flavors or preservatives"", ""Versatile snack for dipping or enjoying on their own""]","{""size"": ""10oz"", ""quantity"": ""1 bag"", ""packaging"": ""Sealed plastic bag"", ""shelfLife"": ""6 months"", ""ingredients"": ""Corn, Vegetable Oil, Cheese Seasoning (Whey, Cheddar Cheese [Milk, Cheese Cultures, Salt, Enzymes], Canola Oil, Maltodextrin [from Corn], Natural and Artificial Flavor, Whey Protein Concentrate, Monosodium Glutamate, Lactic Acid, Artificial Color [Yellow 6, Yellow 5])""}",f,
i-82ead0qz,pharmacy,Sports & Outdoors,t-lwx9znk8_sports-outdoors,Sports & Outdoors Item 5,2999,Generic,,,ai,1,0,2025-12-04 20:45:02.702,,,,,,,,null,null,f,
i-qjjl3fn3,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Bouncy Fun Ball Pack - 10 Count,1199,JumpJoy,"A pack of 10 vibrant, bouncy balls for endless outdoor fun.",JJ-BFP-10-001,ai,1,0,2025-12-04 20:45:49.546,,,,,,,"Introducing the Bouncy Fun Ball Pack by JumpJoy, the perfect addition to any child's outdoor play collection. Each pack contains 10 brightly colored balls made from high-quality, durable rubber that ensures long-lasting bounce and fun. Whether it's a sunny day at the park or a playful time in the backyard, these bouncy balls are guaranteed to provide hours of entertainment. Their lightweight design makes them easy for little hands to throw and catch, promoting physical activity and coordination in a joyful way.","[""Made from high-quality, durable rubber for long-lasting bounce."", ""Bright colors enhance visual tracking and engagement."", ""Perfect size for little hands to grip, throw, and catch."", ""Encourages outdoor play and physical activity.""]","{""diameter"": ""2.5 inches"", ""material"": ""Rubber"", ""quantity"": 10}",f,
i-m123g0pa,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Classic Chess & Checkers Board Game Set,2499,Strategem,A two-in-one board game set featuring both Chess and Checkers.,SG-CCBG-001,ai,1,0,2025-12-04 20:45:49.726,,,,,,,"Elevate your game nights with the Classic Chess & Checkers Board Game Set from Strategem. This elegant set includes a foldable board with a luxurious finish, detailed chess pieces, and smooth checkers pieces, perfect for players of all ages to enjoy. Whether you're a seasoned chess master or just learning to play checkers, this set combines both games in one compact, easy-to-store package. It's an ideal way to develop strategic thinking, improve concentration, and spend quality time with friends and family.","[""Two-in-one set includes both Chess and Checkers."", ""Foldable board for easy storage and transport."", ""High-quality pieces for durable, long-term use."", ""Ideal for all ages and skill levels.""]","{""material"": ""Wood"", ""boardSize"": ""15 inches"", ""piecesIncluded"": ""32 chess pieces, 24 checkers pieces""}",f,
i-z1ydt5j0,pharmacy,Toys & Games,t-lwx9znk8_toys-games,My First Puzzle Set - 4 Puzzles,1599,BrainyKids,A set of 4 colorful and educational puzzles for toddlers.,BK-MFPS-004,ai,1,0,2025-12-04 20:45:49.904,,,,,,,"Introduce your toddler to the world of puzzles with the My First Puzzle Set from BrainyKids. This set includes four different puzzles, each designed to challenge and engage young minds while developing fine motor skills. The puzzles feature vibrant, engaging illustrations of animals, vehicles, fruits, and shapes, making learning fun. Each puzzle is made from high-quality, durable cardboard, with pieces that are just the right size for little hands to manipulate. The My First Puzzle Set is an excellent way to encourage problem-solving skills, hand-eye coordination, and cognitive development in young children.","[""Includes four engaging puzzles with vibrant illustrations."", ""Develops fine motor skills and hand-eye coordination."", ""Made from high-quality, durable cardboard."", ""Ideal for toddlers and preschoolers.""]","{""theme"": ""Animals, Vehicles, Fruits, Shapes"", ""material"": ""Cardboard"", ""quantity"": 4, ""dimensions"": ""9x12 inches per puzzle""}",f,
i-9eib4s8e,pharmacy,Toys & Games,t-alh0vrz9_toys-games,KiddieFun Super Science Lab Kit,3499,KiddieFun,A comprehensive science kit for kids to learn about chemical reactions in a fun and interactive way.,KF-SSLK-3499,ai,4,0,2025-12-04 20:13:48.542,2025-12-07 12:30:44.35,,,,,,"Introducing the KiddieFun Super Science Lab Kit – the ultimate way for kids to explore the wonders of science from the comfort of home. This all-inclusive kit is packed with over 50 experiments that are both educational and entertaining, providing hours of fun. Kids can create everything from their very own volcano to magical glowing crystals. Designed with safety and education in mind, this science kit makes learning about chemical reactions, the laws of physics, and the intricacies of nature both easy and enjoyable. Perfect for young scientists aged 7+, the Super Science Lab Kit is the best way to foster curiosity and a love for science in a hands-on manner.","[""Over 50 fun and educational experiments"", ""Includes easy-to-follow instruction manual"", ""Non-toxic and safe materials"", ""Encourages STEM learning and curiosity"", ""Suitable for children aged 7+""]","{""size"": ""30cm x 20cm x 10cm"", ""quantity"": ""1 Kit (includes various experiment components)"", ""materials"": ""Non-toxic chemical components, plastic, paper"", ""age_recommendation"": ""7+""}",f,
i-rld0p7hn,pharmacy,Books & Media,t-alh0vrz9_books-media,Mindful Medication: Managing Your Health with Intention,2499,Wellness Reads,A comprehensive guide to understanding and managing your medication through mindfulness.,BKM-WR-3210,ai,4,0,2025-12-04 20:13:57.477,2025-12-07 12:30:44.69,,,,,,"In 'Mindful Medication: Managing Your Health with Intention', Wellness Reads brings to light the often-overlooked aspect of medication management: mindfulness. This book is crafted for individuals striving to harmonize their medication routines with a mindful lifestyle, ensuring both physical and mental health are prioritized. Over the course of this read, you'll discover practical strategies for staying on top of your medication, reducing stress related to medical conditions, and enhancing overall well-being through mindfulness. With real-life stories, scientific research, and easy-to-follow advice, 'Mindful Medication' is more than just a guide—it's a companion on your journey to better health.","[""Offers practical strategies for integrating mindfulness into medication routines"", ""Includes real-life success stories and scientific research"", ""Provides tips for reducing medication-related stress"", ""Helps readers improve overall well-being"", ""Easy-to-follow advice suitable for anyone""]","{""ISBN"": ""978-3-16-148410-0"", ""size"": ""6 x 9 inches"", ""pages"": ""320 pages"", ""binding"": ""Paperback"", ""language"": ""English"", ""quantity"": ""1 book""}",f,
i-im7rekgy,general,Office Supplies,t-ccu0mh28_office-supplies,"Staples Bonded Leather Office Chair, Black",14999,Staples,Ergonomic office chair with lumbar support and padded armrests.,ST-BLCHR-01,ai,1,0,2025-12-08 17:38:01.318,,,,,,,"Experience the ultimate comfort and support with the Staples Bonded Leather Office Chair, designed for long hours of work or gaming. Crafted with premium bonded leather, this chair not only adds a touch of elegance to your office decor but also provides durable comfort. The ergonomic design features built-in lumbar support and padded armrests, ensuring you maintain a proper posture throughout your workday. With adjustable height and tilt tension, it can be customized to fit your seating preferences, providing personalized comfort and enhancing productivity. The heavy-duty base and smooth-rolling casters make it easy to move around your workspace, making this chair a versatile and practical choice for any office setting.","[""Ergonomic design with built-in lumbar support"", ""Adjustable height and tilt tension for personalized comfort"", ""Premium bonded leather for durability and style"", ""Heavy-duty base with smooth-rolling casters"", ""Padded armrests for extra comfort""]","{""color"": ""Black"", ""material"": ""Bonded leather"", ""dimensions"": ""27.5 x 28 x 42.5 inches"", ""weightCapacity"": ""250 lbs"", ""assemblyRequired"": ""Yes""}",f,
i-me0qt3aj,pharmacy,Home & Garden,t-lwx9znk8_home-garden,Hummingbird Feeder with Perch - 16 oz,2199,Feather Friends,An attractive hummingbird feeder designed to attract birds with its vibrant colors and easy-access perch.,FF-HBF-16OZ,ai,1,0,2025-12-04 20:43:26.03,,,,,,,"Invite the beauty of nature into your garden with Feather Friends' Hummingbird Feeder. This 16 oz feeder is crafted with vibrant colors to attract hummingbirds, while the convenient perch allows these delightful birds to rest as they feed. The feeder features an easy-to-clean design and ant-resistant technology, ensuring a safe and enjoyable feeding experience for birds. Whether you're an avid birdwatcher or simply enjoy the presence of wildlife in your garden, this hummingbird feeder is a must-have addition to your outdoor space.","[""Vibrant color to attract hummingbirds"", ""Includes perch for easy feeding"", ""Easy to clean and fill"", ""Ant-resistant design""]","{""color"": ""Red"", ""capacity"": ""16 oz"", ""features"": ""Ant Moat, Easy-Fill Lid"", ""material"": ""Plastic""}",f,
i-d3uwc6ok,pharmacy,Health & Beauty,t-lwx9znk8_health-beauty,Health & Beauty Item 1,999,Generic,,,ai,1,0,2025-12-04 20:44:15.12,,,,,,,,null,null,f,
i-3cl4utoy,pharmacy,Health & Beauty,t-lwx9znk8_health-beauty,Health & Beauty Item 2,1499,Generic,,,ai,1,0,2025-12-04 20:44:15.649,,,,,,,,null,null,f,
i-ao8vlcf1,pharmacy,Health & Beauty,t-lwx9znk8_health-beauty,Health & Beauty Item 3,1999,Generic,,,ai,1,0,2025-12-04 20:44:15.838,,,,,,,,null,null,f,
i-w84rt844,pharmacy,Health & Beauty,t-lwx9znk8_health-beauty,Health & Beauty Item 4,2499,Generic,,,ai,1,0,2025-12-04 20:44:16.024,,,,,,,,null,null,f,
i-r7jlkqr8,pharmacy,Health & Beauty,t-lwx9znk8_health-beauty,Health & Beauty Item 5,2999,Generic,,,ai,1,0,2025-12-04 20:44:16.214,,,,,,,,null,null,f,
i-32vn6ij3,pharmacy,Toys & Games,t-lwx9znk8_toys-games,Speedy Racers Mini Car Set - 20 Pieces,2299,ZoomZoom,An exciting set of 20 mini racing cars for fast-paced play.,ZZ-SRMCS-020,ai,1,0,2025-12-04 20:45:50.085,,,,,,,"Zoom into action with the Speedy Racers Mini Car Set from ZoomZoom. This extensive collection features 20 unique mini cars designed for high-speed adventures. Each car boasts vibrant colors, sleek designs, and smooth wheels that glide effortlessly on most surfaces. Perfect for individual play or racing with friends, these mini cars encourage imaginative play and improve motor skills. The set comes in a durable, portable container, making it easy to store and transport your fleet of speedsters wherever you go.","[""20 unique mini cars with vibrant colors and sleek designs."", ""Smooth wheels for high-speed racing on various surfaces."", ""Encourages imaginative play and improves motor skills."", ""Comes with a durable, portable container for easy storage.""]","{""material"": ""Plastic"", ""quantity"": 20, ""carLength"": ""2.5 inches""}",f,
i-ykyywc5t,grocery,Dairy & Eggs,t-v84j50g0_dairy-eggs,"Greek Yogurt, Vanilla, 5.3 oz",129,Chobani,"A single-serving cup of creamy, non-fat Greek yogurt flavored with real vanilla.",CHGY-0532V,ai,1,0,2025-12-07 12:17:15.258,,,,,,,"Chobani's Vanilla Greek Yogurt combines the thick, creamy texture of Greek yogurt with the sweet, comforting taste of real vanilla for a deliciously healthy snack or meal addition. Each 5.3-ounce cup is packed with protein, making it an excellent choice for a post-workout snack or a satisfying, quick breakfast option. Chobani Greek Yogurt is made with only non-GMO ingredients, containing no artificial flavors or sweeteners. The perfect balance of flavor and nutrition, this yogurt is a testament to Chobani's commitment to quality and taste, making it a must-have staple in your refrigerator.","[""Made with real vanilla"", ""High in protein"", ""Non-GMO ingredients"", ""No artificial flavors or sweeteners"", ""Single-serving 5.3 oz cup""]","{""size"": ""5.3 oz"", ""quantity"": 1, ""ingredients"": ""Non-fat Greek yogurt, vanilla, cane sugar, natural flavors"", ""nutritionalInfo"": ""110 calories per serving""}",f,
i-d7ngw0ax,pharmacy,Office Supplies,t-alh0vrz9_office-supplies,"Epson WorkForce WF-2830 All-in-One Wireless Color Printer with Scanner, Copier, and Fax",11999,Epson,"This versatile all-in-one printer offers full wireless capability for your office needs, including printing, scanning, copying, and faxing.",EP-WF2830-00,ai,4,0,2025-12-04 20:14:10.63,2025-12-07 12:30:45.03,,,,,,"The Epson WorkForce WF-2830 All-in-One Wireless Color Printer elevates any office setting with its comprehensive functionality and wireless convenience. Designed for efficiency, it features a robust printer, scanner, copier, and fax machine all in one compact device. With wireless technology, you can print documents and photos directly from your smartphone or tablet without the hassle of wires, making your workspace clutter-free. The WF-2830 boasts a high-resolution printing capability up to 5760 x 1440 dpi, ensuring that every document and image is produced with exceptional clarity and detail. Furthermore, it supports a variety of paper sizes and types, making it a versatile choice for all your office needs. The inclusion of automatic two-sided printing helps save paper, while the built-in scanner and copier make digitizing and duplicating documents a breeze. With Epson's reputation for reliability, this printer is a wise investment for any busy office.","[""Wireless printing from smartphones and tablets"", ""High-resolution printing of up to 5760 x 1440 dpi"", ""Automatic two-sided printing to save paper"", ""Versatile paper handling for various sizes and types"", ""Includes a built-in scanner, copier, and fax machine""]","{""color"": ""Black"", ""weight"": ""11.5 pounds"", ""dimensions"": ""16.7 x 14.8 x 8.7 inches"", ""outputType"": ""Color"", ""printSpeed"": ""10.3 ppm (black), 4.5 ppm (color)"", ""connectivity"": ""Wi-Fi, USB"", ""paperCapacity"": ""100 sheets""}",f,
i-ja4sabr7,grocery,Snacks,t-m11e6ur7_snacks,"Blue Diamond Almonds, Smokehouse - 16 oz",799,Blue Diamond,Crunchy and savory smoked-flavored almonds.,BLD-ALM-SMOK16,ai,1,0,2025-12-08 22:20:52.486,,,,,,,"Blue Diamond's Smokehouse Almonds bring you a savory and smoky flavor that's irresistibly delicious. These almonds are made using only the finest California almonds, seasoned with a unique blend of spices, and smoked to perfection. With 16 ounces of these crunchy nuts, you have a hearty snack that's both nutritious and satisfying. They're great for snacking on the go, adding to salads, or even as a heart-healthy option during your workday. Embrace the bold smokehouse flavor that Blue Diamond is renowned for.","[""Made with high-quality California almonds"", ""Unique smokehouse flavor"", ""Heart-healthy snack"", ""16 oz resealable bag for freshness"", ""Perfect for snacking or cooking""]","{""size"": ""16 oz"", ""calories"": ""170 per serving"", ""quantity"": ""1 bag"", ""ingredients"": ""Almonds, Smokehouse Seasoning (Sea Salt, Maltodextrin, Natural Hickory Smoke Flavor, etc.)""}",f,
i-6y57atza,pharmacy,Home & Garden,t-lwx9znk8_home-garden,Lavender Scented Candles 3-Pack,1999,Soothing Flames,A set of three calming lavender-scented candles for relaxation and ambiance.,SC-LAV-3PK,ai,1,0,2025-12-04 20:43:24.823,,,,,,,"Create a serene and inviting atmosphere in any room with Soothing Flames Lavender Scented Candles. This 3-pack of candles is designed to fill your space with the calming scent of lavender, known for its stress-relieving properties. Each candle is crafted with high-quality wax and a blend of essential oils to ensure a long-lasting and consistent fragrance. Perfect for unwinding after a long day, these candles are an essential addition to your home & garden decor.","[""Calming lavender scent"", ""High-quality wax for long-lasting burn"", ""Includes three candles for extended enjoyment""]","{""size"": ""8 oz each"", ""burnTime"": ""Up to 50 hours per candle"", ""quantity"": 3, ""ingredients"": ""Wax, Lavender Essential Oil""}",f,
i-6hi6o14x,pharmacy,Home & Garden,t-lwx9znk8_home-garden,"Eucalyptus Essential Oil, 30ml",1299,Nature's Essence,Pure eucalyptus essential oil for aromatherapy and home fragrance.,EO-EUC-30ML,ai,1,0,2025-12-04 20:43:25.067,,,,,,,"Nature's Essence Eucalyptus Essential Oil is a must-have for any home & garden enthusiast looking to bring the refreshing scent of eucalyptus into their living space. Extracted from high-quality eucalyptus leaves, this 30ml bottle offers the purest form of the oil, ideal for aromatherapy, homemade cleaning solutions, or as a natural insect repellent. Its crisp, clean fragrance promotes a sense of clarity and wellness, making it perfect for use throughout the day.","[""100% pure eucalyptus oil"", ""Versatile uses around the home"", ""Promotes clarity and wellness""]","{""size"": ""30ml"", ""ingredients"": ""100% Eucalyptus Oil"", ""extractionMethod"": ""Steam Distilled""}",f,
i-7jdtgfl6,pharmacy,Home & Garden,t-lwx9znk8_home-garden,Organic Vegetable & Herb Starter Kit,3499,Green Thumb,A complete starter kit for growing your own organic vegetables and herbs.,GTS-VHK-001,ai,1,0,2025-12-04 20:43:25.263,,,,,,,"Dive into the world of gardening with the Green Thumb Organic Vegetable & Herb Starter Kit. Designed for beginners and seasoned gardeners alike, this kit includes everything you need to start growing your own organic produce directly from your home & garden. It features a selection of seeds, including popular vegetables and herbs, biodegradable pots, and organic soil, ensuring a healthy start for your plants. The detailed instruction guide makes planting and care simple, offering tips and tricks for a bountiful harvest.","[""Includes organic seeds for vegetables and herbs"", ""Biodegradable pots and organic soil for healthy growth"", ""Comprehensive instruction guide included""]","{""quantity"": ""12 seed packets, 12 pots"", ""soilType"": ""Organic potting soil"", ""seedTypes"": ""Tomatoes, Peppers, Basil, Cilantro, and more"", ""kitContents"": ""Seeds, Pots, Soil, Instructions""}",f,
i-t2rqelb5,pharmacy,Home & Garden,t-lwx9znk8_home-garden,"LED Grow Light for Indoor Plants, 24W",2999,PlantBright,A 24W LED grow light designed to enhance the growth of indoor plants.,PLB-LED-24W,ai,1,0,2025-12-04 20:43:25.456,,,,,,,"Optimize your indoor garden's potential with the PlantBright 24W LED Grow Light. Specifically designed to support plant growth in home & garden settings, this light emits a spectrum that mimics natural sunlight, promoting photosynthesis in plants without the need for natural sunlight. Its energy-efficient LED technology ensures your plants get the light they need to thrive while keeping your electricity bills low. Whether you're growing herbs, vegetables, or decorative plants, this grow light offers the support your indoor garden needs.","[""Energy-efficient LED technology"", ""Spectrum optimized for plant growth"", ""Suitable for a variety of indoor plants""]","{""power"": ""24W"", ""lifeSpan"": ""30,000 hours"", ""spectrum"": ""Full Spectrum"", ""lightType"": ""LED""}",f,
i-72iqy343,pharmacy,Home & Garden,t-lwx9znk8_home-garden,"Decorative Ceramic Plant Pot, Medium",1599,Botanica,A beautifully crafted medium-sized ceramic plant pot for indoor and outdoor use.,BTP-CPM-001,ai,1,0,2025-12-04 20:43:25.649,,,,,,,"Elevate your home & garden with Botanica's Decorative Ceramic Plant Pot. This medium-sized pot features a unique, handcrafted design that complements any setting, from modern to rustic. Made with high-quality ceramic, it's durable enough for both indoor and outdoor use, making it perfect for showcasing your favorite plants. The pot includes a drainage hole to prevent overwatering, ensuring your plants remain healthy and vibrant. Add a touch of elegance to your space with this exquisite plant pot.","[""Handcrafted ceramic design"", ""Suitable for indoor and outdoor use"", ""Includes drainage hole for optimal plant health""]","{""size"": ""Medium"", ""color"": ""Varies"", ""material"": ""Ceramic"", ""dimensions"": ""10in x 10in x 9in""}",f,
